100 13
1 6
222
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
0 1
99 1
0 2
99 2
0 3
99 3
0 4
99 4
0 5
99 5
0 6
99 6
0 7
99 7
0 8
99 8
0 9
99 9
0 10
99 10
0 11
99 11
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
32 12
33 12
34 12
35 12
36 12
37 12
38 12
39 12
40 12
41 12
42 12
43 12
44 12
45 12
46 12
47 12
48 12
49 12
50 12
51 12
52 12
53 12
54 12
55 12
56 12
57 12
58 12
59 12
60 12
61 12
62 12
63 12
64 12
65 12
66 12
67 12
68 12
69 12
70 12
71 12
72 12
73 12
74 12
75 12
76 12
77 12
78 12
79 12
80 12
81 12
82 12
83 12
84 12
85 12
86 12
87 12
88 12
89 12
90 12
91 12
92 12
93 12
94 12
95 12
96 12
97 12
98 12
99 12
97
2 7 4
U U D D
3 4 8
D D D D U U U U
4 9 12
U U U U U U D D D D D D
5 5 4
D D U U
6 8 8
U U U U D D D D
7 3 12
D D D D D D U U U U U U
8 7 4
U U D D
9 4 8
D D D D U U U U
10 9 12
U U U U U U D D D D D D
11 5 4
D D U U
12 8 8
U U U U D D D D
13 3 12
D D D D D D U U U U U U
14 7 4
U U D D
15 4 8
D D D D U U U U
16 9 12
U U U U U U D D D D D D
17 5 4
D D U U
18 8 8
U U U U D D D D
19 3 12
D D D D D D U U U U U U
20 7 4
U U D D
21 4 8
D D D D U U U U
22 9 12
U U U U U U D D D D D D
23 5 4
D D U U
24 8 8
U U U U D D D D
25 3 12
D D D D D D U U U U U U
26 7 4
U U D D
27 4 8
D D D D U U U U
28 9 12
U U U U U U D D D D D D
29 5 4
D D U U
30 8 8
U U U U D D D D
31 3 12
D D D D D D U U U U U U
32 7 4
U U D D
33 4 8
D D D D U U U U
34 9 12
U U U U U U D D D D D D
35 5 4
D D U U
36 8 8
U U U U D D D D
37 3 12
D D D D D D U U U U U U
38 7 4
U U D D
39 4 8
D D D D U U U U
40 9 12
U U U U U U D D D D D D
41 5 4
D D U U
42 8 8
U U U U D D D D
43 3 12
D D D D D D U U U U U U
44 7 4
U U D D
45 4 8
D D D D U U U U
46 9 12
U U U U U U D D D D D D
47 5 4
D D U U
48 8 8
U U U U D D D D
49 3 12
D D D D D D U U U U U U
50 7 4
U U D D
51 4 8
D D D D U U U U
52 9 12
U U U U U U D D D D D D
53 5 4
D D U U
54 8 8
U U U U D D D D
55 3 12
D D D D D D U U U U U U
56 7 4
U U D D
57 4 8
D D D D U U U U
58 9 12
U U U U U U D D D D D D
59 5 4
D D U U
60 8 8
U U U U D D D D
61 3 12
D D D D D D U U U U U U
62 7 4
U U D D
63 4 8
D D D D U U U U
64 9 12
U U U U U U D D D D D D
65 5 4
D D U U
66 8 8
U U U U D D D D
67 3 12
D D D D D D U U U U U U
68 7 4
U U D D
69 4 8
D D D D U U U U
70 9 12
U U U U U U D D D D D D
71 5 4
D D U U
72 8 8
U U U U D D D D
73 3 12
D D D D D D U U U U U U
74 7 4
U U D D
75 4 8
D D D D U U U U
76 9 12
U U U U U U D D D D D D
77 5 4
D D U U
78 8 8
U U U U D D D D
79 3 12
D D D D D D U U U U U U
80 7 4
U U D D
81 4 8
D D D D U U U U
82 9 12
U U U U U U D D D D D D
83 5 4
D D U U
84 8 8
U U U U D D D D
85 3 12
D D D D D D U U U U U U
86 7 4
U U D D
87 4 8
D D D D U U U U
88 9 12
U U U U U U D D D D D D
89 5 4
D D U U
90 8 8
U U U U D D D D
91 3 12
D D D D D D U U U U U U
92 7 4
U U D D
93 4 8
D D D D U U U U
94 9 12
U U U U U U D D D D D D
95 5 4
D D U U
96 8 8
U U U U D D D D
97 3 12
D D D D D D U U U U U U
98 7 4
U U D D
